std_val_loss,val_loss,epoch,step,train_raw_std_mse_loss,train_loss
0.6550588011741638,20.295555114746094,0,382,,
,,0,382,0.517463743686676,22.287460327148438
0.6129851341247559,18.99199676513672,1,765,,
,,1,765,0.3710784316062927,18.87354850769043
0.5641665458679199,17.479459762573242,2,1148,,
,,2,1148,0.31883659958839417,17.494630813598633
0.5441634654998779,16.859708786010742,3,1531,,
,,3,1531,0.2668646574020386,16.005390167236328
0.5125840306282043,15.8812894821167,4,1914,,
,,4,1914,0.22801823914051056,14.794677734375
0.5116704702377319,15.852984428405762,5,2297,,
,,5,2297,0.19716134667396545,13.757246971130371
0.5117797255516052,15.856371879577637,6,2680,,
,,6,2680,0.17412987351417542,12.928775787353516
0.47690218687057495,14.775765419006348,7,3063,,
,,7,3063,0.15253883600234985,12.100713729858398
0.4709658920764923,14.591842651367188,8,3446,,
,,8,3446,0.1398274153470993,11.585556983947754
0.4630317687988281,14.346020698547363,9,3829,,
,,9,3829,0.12094666063785553,10.775012016296387
0.4653087258338928,14.416568756103516,10,4212,,
,,10,4212,0.10832663625478745,10.197371482849121
0.46413516998291016,14.380208015441895,11,4595,,
,,11,4595,0.09854587912559509,9.726127624511719
0.45775315165519714,14.182475090026855,12,4978,,
,,12,4978,0.08828490227460861,9.205849647521973
0.45293256640434265,14.033120155334473,13,5361,,
,,13,5361,0.07824071496725082,8.666367530822754
0.45272329449653625,14.02663516998291,14,5744,,
,,14,5744,0.06915085017681122,8.147407531738281
0.442474901676178,13.709113121032715,15,6127,,
,,15,6127,0.06423810124397278,7.852662563323975
0.44097769260406494,13.662724494934082,16,6510,,
,,16,6510,0.06028416007757187,7.607156753540039
0.4386647045612335,13.59106159210205,17,6893,,
,,17,6893,0.055458687245845795,7.296346664428711
0.4486583471298218,13.900691986083984,18,7276,,
,,18,7276,0.05162910372018814,7.039923191070557
0.4432591497898102,13.733409881591797,19,7659,,
,,19,7659,0.04876234382390976,6.841682434082031
0.42936065793037415,13.302796363830566,20,8042,,
,,20,8042,0.043563853949308395,6.46671724319458
0.43654870986938477,13.525501251220703,21,8425,,
,,21,8425,0.041248805820941925,6.292544841766357
0.4476983845233917,13.870949745178223,22,8808,,
,,22,8808,0.03949536755681038,6.157347679138184
0.43851929903030396,13.586556434631348,23,9191,,
,,23,9191,0.03921627998352051,6.135555267333984
0.4368266761302948,13.534113883972168,24,9574,,
,,24,9574,0.03673015534877777,5.937889099121094
0.4363337755203247,13.518842697143555,25,9957,,
,,25,9957,0.03413056582212448,5.723905086517334
0.43978068232536316,13.625638008117676,26,10340,,
,,26,10340,0.033391959965229034,5.6616315841674805
0.427646666765213,13.249692916870117,27,10723,,
,,27,10723,0.029959624633193016,5.362766742706299
0.434101402759552,13.449677467346191,28,11106,,
,,28,11106,0.03093048743903637,5.448967933654785
0.43553048372268677,13.493953704833984,29,11489,,
,,29,11489,0.028742946684360504,5.252745628356934
0.4298822581768036,13.31895637512207,30,11872,,
,,30,11872,0.02812318503856659,5.19580602645874
0.41673147678375244,12.911508560180664,31,12255,,
,,31,12255,0.027518540620803833,5.139648914337158
0.42854633927345276,13.277565956115723,32,12638,,
,,32,12638,0.026744021102786064,5.066802978515625
0.43140554428100586,13.366151809692383,33,13021,,
,,33,13021,0.026298763230443,5.024447441101074
0.41918739676475525,12.987600326538086,34,13404,,
,,34,13404,0.025473402813076973,4.944975852966309
0.4250234067440033,13.168416976928711,35,13787,,
,,35,13787,0.023951547220349312,4.79498815536499
0.4199196696281433,13.01028823852539,36,14170,,
,,36,14170,0.024574529379606247,4.8569464683532715
0.42201635241508484,13.075248718261719,37,14553,,
,,37,14553,0.02281593158841133,4.679935932159424
0.41608017683029175,12.891329765319824,38,14936,,
,,38,14936,0.02274382673203945,4.6725335121154785
0.41365283727645874,12.816123962402344,39,15319,,
,,39,15319,0.022919028997421265,4.690496921539307
0.4207735061645508,13.036742210388184,40,15702,,
,,40,15702,0.020746007561683655,4.4626007080078125
0.41902369260787964,12.982526779174805,41,16085,,
,,41,16085,0.019563939422369003,4.3336005210876465
0.4242616593837738,13.144814491271973,42,16468,,
,,42,16468,0.019917499274015427,4.372583866119385
0.4212992489337921,13.053030967712402,43,16851,,
,,43,16851,0.020034994930028915,4.385461807250977
0.42721131443977356,13.23620319366455,44,17234,,
,,44,17234,0.020697830244898796,4.45741605758667
0.41334599256515503,12.80661678314209,45,17617,,
,,45,17617,0.0210530087351799,4.49549674987793
0.412371963262558,12.77643871307373,46,18000,,
,,46,18000,0.0185067318379879,4.214882850646973
0.4224975109100342,13.090156555175781,47,18383,,
,,47,18383,0.019145997241139412,4.287060737609863
0.41822707653045654,12.957845687866211,48,18766,,
,,48,18766,0.017374364659190178,4.0839009284973145
0.41821789741516113,12.957562446594238,49,19149,,
,,49,19149,0.01795845478773117,4.151979446411133
0.41510555148124695,12.861133575439453,50,19532,,
,,50,19532,0.017984751611948013,4.155018329620361
0.41317465901374817,12.801308631896973,51,19915,,
,,51,19915,0.016510093584656715,3.981029510498047
0.4126560091972351,12.785238265991211,52,20298,,
